,EIN,X__1,NAME.x,NAME.y,ICO,STREET,CITY,STATE,ZIP,tax_prd,subseccd,s501c3or4947a1cd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,invstproceedscd,recvnoncashcd,noemplyeesw3cnt,unrelbusinccd,solicitcntrbcd,totcomprelatede,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,netgnls,netincfndrsng,netincgaming,netincsales,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,profndraising,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,secrdmrtgsend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,totnetassetend,totnetliabastend,gftgrntsrcvd170,totgftgrntrcvd509
246,341874951,182,HUBER OPERA HOUSE AND CIVIC CENTER INC,HUBER OPERA HOUSE AND CIVIC CENTER INC,% JO COPLIN,157 E HIGH ST,HICKSVILLE,OH,43526-1159,201312,3,Y,N,N,N,N,0,N,N,0,124342,46145,0,0,0,0,0,0,0,0,170487,0,0,0,0,0,0,0,0,0,0,54994,10500,0,0,0,0,0,0,226580,0,0,0,0,60835,297915,0,0,0,0,0,182422,0,182422,115493,0,0,115493,297915,0,290946
247,346556139,506,TOLEDO OPERA ASSOCIATION,TOLEDO OPERA ASSOCIATION,NA,425 JEFFERSON AVE STE 601,TOLEDO,OH,43604-1080,201305,3,Y,Y,Y,N,N,59,N,N,0,430466,324826,32797,0,0,6042,38140,0,0,0,832271,0,0,0,0,60000,0,287327,0,0,0,952414,39084,0,112683,0,0,0,9101,4528,1349499,0,0,0,0,1514895,7319,0,73393,0,0,0,0,430712,-180080,264263,1.00E+06,1084183,1514895,3414210,0
249,351405179,189,INDIANAPOLIS OPERA,INDIANAPOLIS OPERA COMPANY,NA,4011 N PENNSYLVANIA ST,INDIANAPOLIS,IN,46205-2608,201306,3,Y,Y,N,N,Y,152,Y,N,0,1514517,195610,89,0,0,615,59520,13120,0,79578,1863049,0,0,0,0,0,0,596214,12292,142900,0,1695937,19861,0,880714,0,0,0,3253,216162,23651,0,0,0,0,1143641,117013,0,40053,0,0,168200,0,362766,397411,383464,0,780875,1143641,7672359,0
252,362837499,268,MUSIC OF THE BAROQUE CONCERT SERIES INC,MUSIC OF THE BAROQUE CONCERT SERIES INC,NA,25 E WASHINGTON ST STE 823,CHICAGO,IL,60602-1723,201306,3,Y,N,Y,N,Y,143,N,N,0,1104988,574467,7825,0,0,18310,-21611,22012,0,23401,1729392,0,0,0,0,216300,0,608441,40390,34801,0,1721384,4587,518726,0,25659,0,0,90063,13004,0,198991,0,0,0,851030,50195,0,347072,0,0,0,0,397267,76772,57000,319991,453763,851030,5275682,0
253,362935678,215,LITHUANIAN OPERA COMPANY,LITHUANIAN OPERA COMPANY,NA,16W306 HILLSIDE LN,BURR RIDGE,IL,60527-6201,201406,3,Y,N,N,N,N,0,N,N,0,22020,0,0,0,0,0,0,0,0,0,22020,0,0,0,0,0,0,0,0,0,0,8373,16423,0,0,0,0,0,0,0,0,0,0,0,0,16423,0,0,0,0,0,0,0,0,0,0,0,16423,16423,0,44037
254,362935678,215,LITHUANIAN OPERA COMPANY,LITHUANIAN OPERA COMPANY,NA,16W306 HILLSIDE LN,BURR RIDGE,IL,60527-6201,201306,3,Y,N,N,N,N,0,N,N,0,0,67482,0,0,0,0,0,0,0,0,67482,0,0,0,0,0,0,0,0,0,0,70229,12600,0,0,0,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,0,0,12600,12600,0,90017
255,363125199,214,LIGHT OPERA WORKS INC,LIGHT OPERA WORKS INC,NA,516 4TH ST,WILMETTE,IL,60091-2829,201301,3,Y,N,Y,N,N,16,N,N,0,435223,1081935,0,0,0,0,29486,0,0,0,1561891,0,0,0,0,72500,0,261337,0,52824,0,1539081,86892,0,0,31281,0,0,61048,57359,0,0,0,0,900,237480,26097,0,0,0,0,0,349584,375681,-138201,0,0,-138201,237480,2146620,0
257,363652212,489,THE MATTHEWS OPERA HOUSE AND ARTS CENTER,THE MATTHEWS OPERA HOUSE AND ARTS CENTER,NA,612 N MAIN ST,SPEARFISH,SD,57783-2445,201307,3,Y,N,N,N,N,7,Y,N,0,106535,167106,0,0,0,0,0,0,5890,0,282448,0,0,0,0,47077,0,33398,0,0,0,269120,155261,5135,0,1539,0,0,0,448537,0,0,0,0,2500,612972,5561,0,0,0,0,0,0,5561,0,0,0,607411,612972,389101,0
258,364255580,446,SANTA CECILIA OPERA AND ORCHESTRA ASSOCIATION,SANTA CECILIA OPERA AND ORCHESTRA ASSOCIATION,% SONIA MARIE DE LEON,2759 W BROADWAY,LOS ANGELES,CA,90041-1038,201308,3,Y,N,N,N,N,2,N,N,0,305558,20605,183,0,0,0,0,0,0,0,326346,0,0,0,0,75000,0,129515,0,36217,10595,340619,74991,107035,0,0,0,0,0,2360,0,0,0,0,0,184386,0,0,0,0,0,0,13142,13142,171244,0,0,171244,184386,1930815,0
259,364275279,498,THE POCKET OPERA PLAYERS,THE POCKET OPERA PLAYERS,% JOHN EATON,28 72ND ST,NORTH BERGEN,NJ,07047-5902,201312,3,Y,N,N,N,N,0,N,N,0,44379,5820,0,0,0,0,0,0,0,0,50199,0,0,0,0,0,0,0,0,0,0,66245,2451,0,0,0,0,0,0,0,0,0,0,0,0,2451,0,0,0,0,0,0,0,0,2451,0,0,2451,2451,0,72886
262,364700566,257,MILL CITY SUMMER OPERA,MILL CITY SUMMER OPERA,NA,3208 W LAKE ST,MINNEAPOLIS,MN,55416-4512,201309,3,N,N,N,N,N,1,Y,N,0,343234,121115,0,0,0,0,0,0,0,33305,497654,0,0,0,0,0,0,3146,0,0,11981,484467,25623,0,0,800,0,0,7984,0,0,0,0,0,0,34407,5774,0,0,0,0,0,0,5774,28633,0,0,28633,34407,773262,0
263,366008929,229,LYRIC OPERA OF CHICAGO,LYRIC OPERA OF CHICAGO,% LYRI,20 N WACKER DR,CHICAGO,IL,60606-2806,201306,3,Y,Y,N,N,Y,0,Y,N,0,17901844,3912539,488374,0,9587,301861,-81758,0,160748,198647,22891842,256940,0,0,0,274684,0,2805446,257985,529961,95,9493133,3755547,5118113,40715285,1624896,0,13020,4132625,49000620,69584187,108933733,0,0,40800,282918826,7133192,0,14514188,65700000,0,0,9902757,97250137,95040996,66007882,24619811,185668689,282918826,120984293,0
264,366008929,229,LYRIC OPERA OF CHICAGO,LYRIC OPERA OF CHICAGO,% LYRI,20 N WACKER DR,CHICAGO,IL,60606-2806,201304,3,N,Y,N,N,Y,936,Y,N,0,31898109,23502728,2201120,0,5814,1574232,-775684,15370,582332,1739086,60743107,943665,0,0,0,1642996,0,27972116,2344019,3315933,396,63003591,261988,1924814,30772870,2192588,0,11858,4318214,49095181,72697972,110135622,0,0,13600,271424707,6983005,0,13683529,65700000,0,0,13119106,99485640,94527224,54688311,22723532,171939067,271424707,126121570,0
266,367033135,204,LAKE GEORGE OPERA FESTIVAL ASSOCIATION INC TRUST,LAKE GEORGE OPERA FESTIVAL ASSOCIATION INC TRUST,% G ALLISON NORTHERN TRUST CO,PO BOX 803878,CHICAGO,IL,60680-3878,201405,3,Y,N,N,N,N,0,N,N,0,0,0,28306,0,0,48866,0,0,0,0,77172,250000,0,0,0,0,0,0,0,0,0,259388,0,18289,0,0,0,0,0,0,677189,0,0,0,0,695478,0,0,0,0,0,0,0,0,0,0,0,695478,695478,0,0
271,381742032,504,"TIBBITS OPERA FOUNDATION AND ARTS COUNCIL, INC.",TIBBITS OPERA FOUNDATION AND ARTS COUNCIL INC,NA,14 S HANCHETT ST,COLDWATER,MI,49036-1907,201309,3,N,N,Y,N,N,61,N,N,0,835566,223627,9,0,0,0,69063,0,0,0,1156717,0,0,0,0,37973,0,224379,0,3135,0,1067995,28880,32121,0,1141,0,0,8578,1868204,905,0,0,0,0,1939829,15288,0,40988,0,0,181056,0,237332,1681876,20621,0,1702497,1939829,2445832,0
272,382052726,254,MICHIGAN OPERA THEATRE,MICHIGAN OPERA THEATRE,NA,1526 BROADWAY ST,DETROIT,MI,48226-2115,201306,3,Y,N,N,N,N,631,Y,N,0,4103424,3804301,42165,0,0,15486,246384,0,770342,1948127,11218864,0,0,0,0,201999,0,3590817,0,159969,67192,11456501,2642850,0,73074,68483,0,0,327535,47580507,1691528,0,0,0,72233,52456210,2769856,0,1177284,0,0,5431723,0,9378863,38903719,703128,3470500,43077347,52456210,23033143,0
273,382237064,75,CITY OPERA HOUSE HERITAGE ASSOCIATION INC,CITY OPERA HOUSE HERITAGE ASSOCIATION INC,NA,106 E FRONT ST,TRAVERSE CITY,MI,49684-2509,201312,3,Y,Y,N,N,N,0,N,N,0,352039,613337,155,0,0,0,0,0,0,9646,975177,0,0,0,0,0,0,254159,0,11480,0,1064306,347,383622,0,20026,0,0,15378,6125928,0,0,0,0,783979,7329280,51773,0,52673,0,0,0,747308,851754,5445878,1031648,0,6477526,7329280,0,746841
274,386142941,339,OPERA GRAND RAPIDS,OPERA GRAND RAPIDS,NA,1320 FULTON ST E,GRAND RAPIDS,MI,49503-3852,201307,3,Y,Y,Y,N,N,11,Y,N,0,844595,285400,19,0,0,0,-48521,0,0,0,1083038,0,0,0,0,135917,0,305460,0,22789,0,1171832,258,83615,67300,4995,0,0,10268,1842044,0,95044,0,0,0,2103524,31737,0,92685,0,0,129000,0,406311,1498669,112239,86305,1697213,2103524,0,4082824
275,386144993,95,CROSWELL OPERA HOUSE AND FINE ARTS ASSOCIATION,CROSWELL OPERA HOUSE & FINE ARTS ASSOCIATION,NA,129 E MAUMEE ST,ADRIAN,MI,49221-2703,201308,3,N,N,Y,N,N,20,Y,N,0,391792,551805,2985,0,0,0,0,0,11320,34631,972439,0,0,0,0,76500,0,218813,0,46674,0,914616,173674,26135,0,6789,0,0,27394,544302,92815,0,0,0,0,871109,69960,0,36513,0,0,0,173875,280348,298100,173711,118950,590761,871109,0,1186162
278,391569883,396,OSHKOSH OPERA HOUSE FOUNDATION INC,OSHKOSH OPERA HOUSE FOUNDATION INC,NA,222 PEARL AVE,OSHKOSH,WI,54901-4834,201306,3,Y,N,Y,N,N,32,N,N,0,461094,149015,1927,0,0,-2020,16765,0,7900,1968,637649,0,0,0,0,94255,0,181719,0,4739,0,720618,94510,7506,0,4552,0,7046,2758,365479,0,0,0,0,125920,607771,33541,0,0,0,0,25000,28624,87165,354315,166291,0,520606,607771,2721107,0
280,391789514,235,"MADISON OPERA, INC.",MADISON OPERA INC,% GEN DIR DIR OF FINANCE,335 W MIFFLIN ST,MADISON,WI,53703-2513,201308,3,Y,N,Y,N,Y,11,Y,N,0,1838008,616025,232,0,0,0,11500,7287,0,3485,2416573,0,0,0,0,112600,0,257851,2910,6737,0,1857471,45428,138501,374998,12088,0,0,77092,2169489,0,0,0,0,0,2817596,82136,0,249150,0,0,1137169,0,1468455,-247753,1596894,0,1349141,2817596,6778105,0
281,391900890,149,GRAND OPERA HOUSE FOUNDATION,GRAND OPERA HOUSE FOUNDATION,NA,135 W 8TH ST,DUBUQUE,IA,52001-6810,201312,3,Y,N,N,N,N,0,N,N,0,388726,0,27,0,0,0,0,0,0,0,388753,0,0,0,0,0,0,0,0,0,0,7846,12250,154270,79000,0,0,0,0,0,0,0,0,0,0,245520,0,0,0,0,0,0,0,0,245520,0,0,245520,245520,0,0
282,391915602,503,THRASHER OPERA HOUSE CORPORATION,THRASHER OPERA HOUSE CORPORATION,NA,510 MILL ST,GREEN LAKE,WI,54941-9575,201312,3,Y,N,N,N,N,3,N,N,0,236294,133613,1704,0,0,0,6642,0,30937,0,409190,0,0,0,0,0,0,93760,0,0,0,258543,13675,0,0,0,0,0,8289,413977,14204,0,0,0,0,450145,2701,0,0,0,0,0,4948,7649,442496,0,0,442496,450145,614776,0
284,392021767,234,MADISON OPERA FOUNDATION INC,MADISON OPERA FOUNDATION INC,% GEN DIR OF FINANCE,335 W MIFFLIN ST,MADISON,WI,53703-2513,201308,3,Y,N,N,N,N,0,N,N,0,0,0,13552,0,0,22561,0,0,0,0,36113,55410,0,0,0,0,0,0,0,0,0,57660,0,0,0,0,0,0,0,0,871841,0,0,0,0,871841,0,0,0,0,0,0,0,0,0,193779,678062,871841,871841,0,0
285,410946789,491,THE MINNESOTA OPERA,THE MINNESOTA OPERA,NA,620 N 1ST ST,MINNEAPOLIS,MN,55401-1225,201306,3,Y,Y,Y,N,Y,224,N,N,0,4748172,3476472,481343,0,0,226773,134867,0,0,0,9102424,0,0,0,0,225720,94626,3025481,60803,288755,0,10632030,374467,0,3042142,321478,0,0,649487,3154009,14752,11854658,0,0,7888886,27299879,190174,0,1816160,0,0,819982,0,2826316,1559111,3513297,19401155,24473563,27299879,26181658,0
287,411375724,460,SKYLARK OPERA,SKYLARK OPERA,NA,75 5TH ST W STE 414,SAINT PAUL,MN,55102-1414,201309,3,Y,Y,Y,N,N,3,N,N,0,131349,82450,553,0,0,0,0,0,0,0,214352,0,0,0,0,0,0,26153,0,0,0,192203,48885,0,35081,0,0,0,0,0,0,0,0,0,0,83966,23689,0,0,0,0,0,0,64439,-35554,55081,0,19527,83966,846964,0
289,411721692,272,NAUTILUS MUSIC THEATER,NAUTILUS MUSIC THEATER,NA,308 PRINCE ST STE 190,SAINT PAUL,MN,55101-1491,201308,3,Y,N,N,N,N,1,N,N,0,91311,59827,99,0,0,0,0,0,0,0,151237,0,0,0,0,31000,0,0,0,9495,0,300390,43549,6977,10665,15402,0,0,869,0,0,0,0,0,504,77966,23118,0,0,0,0,0,3570,218870,-160904,20000,0,-140904,77966,814641,0
290,411901385,173,HISTORIC HOMESTAKE OPERA HOUSE,HISTORIC HOMESTAKE OPERA HOUSE SOCIETY,NA,PO BOX 412,LEAD,SD,57754-0412,201312,3,Y,Y,Y,N,N,1,N,N,0,126337,24939,1491,0,0,0,37207,0,474,4435,163416,0,0,0,0,43925,0,0,0,0,0,204759,94102,14518,90185,22877,0,0,0,3129442,0,0,0,0,23656,3374780,11812,0,0,0,0,353627,0,365439,2871572,137769,0,3009341,3374780,822313,0
292,421133812,488,"THE GRAND OPERA HOUSE, IOWA",THE GRAND OPERA HOUSE,NA,135 W 8TH ST,DUBUQUE,IA,52001-6810,201312,3,Y,N,N,N,N,5,N,N,0,67321,320952,43,0,0,200,0,0,6732,2322,375653,0,0,0,0,30000,0,68680,0,0,0,519115,30740,34584,0,0,0,0,2165,4149038,0,0,0,0,0,4216527,47164,0,11031,0,0,48430,0,106625,458196,3651706,0,4109902,4216527,503727,0
293,421320801,410,PELLA OPERA HOUSE COMMISSION,PELLA OPERA HOUSE COMMISSION,NA,PO BOX 326,PELLA,IA,50219-0326,201306,3,N,N,N,N,N,20,N,N,0,151474,46820,25327,0,0,0,12062,0,8866,0,272191,0,0,0,0,95687,0,10018,0,0,0,336822,21515,71279,0,0,0,0,0,530712,985178,0,0,0,0,1608684,0,0,0,0,0,0,4495,4495,1114469,-12292,502012,1604189,1608684,681585,0
294,421376458,102,DES MOINES METRO OPERA FOUNDATION INC,DES MOINES METRO OPERA FOUNDATION INC,% LUTHER L HILL JR,106 W BOSTON AVE,INDIANOLA,IA,50125-1836,201308,3,Y,Y,Y,N,N,0,N,N,0,38345,0,248709,0,0,-268264,0,0,0,0,18790,517424,0,0,0,0,0,0,0,0,0,584760,0,304564,74265,42613,0,0,0,0,8844828,161074,0,0,0,9427344,3174,0,0,0,0,0,95238,98412,8374856,754076,2.00E+05,9328932,9427344,0,0
295,421476568,58,CEDAR RAPIDS OPERA THEATRE,CEDAR RAPIDS OPERA THEATRE,% DANIEL KLEINKNECHT,425 2ND ST SE STE 960,CEDAR RAPIDS,IA,52401-1848,201308,3,Y,N,N,N,N,2,N,N,0,230197,80862,0,0,0,0,18135,0,0,0,329194,0,0,0,0,0,0,37333,0,0,0,270454,2703,0,0,0,0,0,19811,0,0,0,0,0,0,22514,1193,0,12900,0,0,2457,0,16550,0,0,0,5964,22514,0,954540
297,430821958,392,OPERA THEATRE OF SAINT LOUIS,OPERA THEATRE OF SAINT LOUIS,% TIMOTHY OLEARY,210 HAZEL AVE,SAINT LOUIS,MO,63119-3236,201309,3,N,N,Y,N,N,347,Y,N,0,8565108,1726314,524063,0,0,2876288,-98644,0,0,467764,14165144,0,77506,0,0,357579,0,3892796,68224,271736,0,9175401,850,2088348,3772639,276334,0,0,400424,4747992,26177941,0,0,0,745192,38216495,286916,0,637959,0,0,0,168060,1092935,3249786,13091537,20782237,37123560,38216495,29983735,0
300,431888220,231,LYRIC OPERA OF KANSAS CITY FOUNDATION,LYRIC OPERA OF KANSAS CITY FDN,% STEPHEN W GROW,1725 HOLMES ST,KANSAS CITY,MO,64108-1538,201406,3,Y,N,Y,N,N,0,N,N,0,2255277,0,361364,0,0,119744,0,0,0,0,2736385,799384,0,0,0,0,0,0,0,0,0,979639,695233,0,4000,0,7641900,0,0,0,210717,7240407,0,0,128062,15920319,0,0,0,0,0,1932824,0,1932824,1355163,6662948,5969384,13987495,15920319,0,0
301,431888220,231,LYRIC OPERA OF KANSAS CITY FOUNDATION,LYRIC OPERA OF KANSAS CITY FDN,% STEPHEN W GROW,1725 HOLMES ST,KANSAS CITY,MO,64108-1538,201306,3,Y,N,Y,N,N,0,N,N,0,1440588,0,335246,0,0,116622,0,0,0,0,1892456,760334,0,0,0,0,0,0,0,0,0,988888,0,677930,4000,0,7641900,0,0,0,208899,6456894,0,0,97716,15087339,0,159938,0,0,0,3525359,0,3685297,631052,4826606,5944384,11402042,15087339,0,0
304,440626124,230,"LYRIC OPERA OF KANSAS CITY, INC.",LYRIC OPERA OF KANSAS CITY INC,NA,1725 HOLMES ST,KANSAS CITY,MO,64108-1538,201406,3,Y,N,N,N,Y,197,N,N,0,6509574,1888046,124,0,0,0,-115168,0,0,45665,8495228,1632381,19379,0,0,287645,0,1926281,0,113816,2955,7880695,1705011,136224,2007792,109404,0,0,194789,112067,0,0,0,0,13987495,18252782,150005,0,1037707,0,0,0,0,1187712,805160,10062823,6197087,17065070,18252782,25079847,0
305,440626124,230,"LYRIC OPERA OF KANSAS CITY, INC.",LYRIC OPERA OF KANSAS CITY INC,NA,1725 HOLMES ST,KANSAS CITY,MO,64108-1538,201306,3,Y,N,N,N,N,192,N,N,0,5007232,2075041,127,0,0,100,-139696,0,0,60962,7148193,1260637,22182,0,0,431513,0,1679690,0,117224,18143,7247902,137888,1726735,1312063,319256,0,0,250454,119728,0,0,0,0,11402042,15268166,205466,0,1197616,0,0,0,0,1403082,1333862,6359135,6172087,13865084,15268166,22286923,0
306,450307449,123,FARGO MOORHEAD OPERA COMPANY,FARGO MOORHEAD OPERA COMPANY,NA,114 BROADWAY N STE S1,FARGO,ND,58102-4942,201306,3,Y,N,Y,N,N,0,Y,N,0,147680,65957,7,0,0,0,151311,0,0,21906,386861,0,0,0,0,0,0,84430,0,0,0,388196,25058,0,0,3420,0,0,215,5393,0,0,0,0,0,34086,18049,10805,0,0,0,11648,0,40502,-6416,0,0,-6416,34086,0,1
307,450307449,123,FARGO MOORHEAD OPERA COMPANY,FARGO MOORHEAD OPERA COMPANY,NA,114 BROADWAY N STE S1,FARGO,ND,58102-4942,201406,3,Y,N,Y,N,N,0,Y,N,0,342231,52221,364,0,0,0,0,0,0,34526,429691,0,0,0,0,0,0,107975,0,0,0,439251,20164,0,0,4672,0,0,0,3698,0,0,0,0,0,28534,4620,0,14705,0,0,10185,0,44510,-15976,0,0,-15976,28534,0,1
312,452480257,233,LYRIC OPERA QALICB INC,LYRIC OPERA QALICB INC,% GREG HUBBARD,1725 HOLMES ST,KANSAS CITY,MO,64108-1538,201406,2,N,N,Y,N,N,0,N,N,0,0,540000,158,0,0,0,0,0,0,0,540158,597895,0,0,0,0,0,0,0,0,0,1135790,10389,105175,0,0,0,0,0,9871983,0,0,0,0,0,9987547,65276,0,0,0,0,10290000,0,10355276,0,0,0,-367729,9987547,0,0
313,452480257,233,LYRIC OPERA QALICB INC,LYRIC OPERA QALICB INC,% GREG HUBBARD,1725 HOLMES ST,KANSAS CITY,MO,64108-1538,201306,2,N,N,Y,N,N,0,N,N,0,0,540000,1019,0,0,0,0,0,0,0,541019,153950,0,0,0,0,0,0,0,0,0,693741,356505,105080,0,0,0,0,0,10120794,0,0,0,0,0,10582379,64476,0,0,0,0,10290000,0,10354476,0,0,0,227903,10582379,0,0
314,452772653,304,OPAS ENCORE INC,OPAS ENCORE INC,NA,PO BOX 3141,BRYAN,TX,77805-3141,201405,3,Y,N,N,N,N,0,N,N,0,0,0,202,0,0,0,124102,0,0,0,124304,0,0,0,0,0,0,0,0,0,0,122855,35249,0,0,0,0,0,0,0,0,0,0,0,0,35249,0,0,0,0,0,0,0,0,0,0,0,35249,35249,0,500
315,452831814,131,FORT WORTH OPERA ENDOWMENT,FORT WORTH OPERA ENDOWMENT,% DARREN WOODS,1300 GENDY ST,FORT WORTH,TX,76107-4036,201308,3,Y,Y,Y,N,N,0,N,N,265998,1005100,0,10269,0,0,0,0,0,0,0,1015369,0,0,0,0,0,0,0,0,0,0,3803,13079,0,0,0,0,0,0,0,1112735,0,0,0,0,1125814,0,0,0,0,0,0,1356,1356,0,78933,1045525,1124458,1125814,0,0
317,453307896,190,INDUSTRY PRODUCTIONS INC,INDUSTRY PRODUCTIONS INC,% CYPRESS LLP,244 S SAN PEDRO ST STE 304,LOS ANGELES,CA,90012-3861,201312,3,Y,N,N,N,Y,0,N,N,0,773026,207929,0,0,0,0,0,0,0,1739,982694,0,0,0,0,0,0,0,0,0,0,929326,56136,0,0,0,0,0,0,0,0,0,0,0,0,56136,0,0,0,0,0,0,312,312,55824,0,0,55824,56136,1051277,0
361,470825124,259,MINDEN OPERA HOUSE INC,MINDEN OPERA HOUSE INC,NA,PO BOX 1,MINDEN,NE,68959-0001,201308,3,Y,Y,N,N,N,13,Y,N,0,101381,95057,29,0,0,0,0,0,18174,591,215232,0,0,0,0,31084,37587,0,0,0,0,224461,1175,10765,0,2070,0,8970,2250,5496,0,0,0,0,0,30726,4808,0,19038,0,0,0,3047,26893,3833,0,0,3833,30726,510223,0
380,476032795,370,OPERA OMAHA INC,OPERA/OMAHA INC,NA,1850 FARNAM ST,OMAHA,NE,68102-1904,201306,3,Y,Y,Y,N,N,11,N,N,0,2307837,384533,62123,0,0,0,0,0,-1545,2243,2769663,0,0,0,0,98851,0,491803,10172,41494,28800,2784903,42851,0,884631,76022,0,3000,44161,170730,0,2709019,0,0,0,3930414,19272,0,178344,0,0,5.00E+05,0,697616,497455,2635343,1.00E+05,3232798,3930414,0,9392984
381,476032795,370,OPERA OMAHA INC,OPERA/OMAHA INC,NA,1850 FARNAM ST,OMAHA,NE,68102-1904,201406,3,Y,Y,Y,N,N,16,N,N,0,2926806,442067,60037,0,0,0,0,0,-697,8247,3438946,0,0,0,0,101762,0,490794,15914,38979,0,3032419,104857,0,1411482,85366,0,2303,49525,215457,0,2849247,0,0,0,4718237,126339,0,191049,0,0,450000,0,767388,779877,2825764,345208,3950849,4718237,0,10695031
382,481061493,244,MCPHERSON OPERA HOUSE COMPANY,MCPHERSON OPERA HOUSE COMPANY,% EMMA S PERERA,PO BOX 333,MCPHERSON,KS,67460-0333,201306,3,N,N,Y,N,N,5,Y,N,0,1453365,114707,318383,0,0,223,0,0,8927,7315,1877026,0,0,0,0,59484,0,72365,0,0,0,898103,496923,0,1.00E+05,413,6354445,4114,27402,480995,149847,-328,0,0,15712,7629523,17568,0,0,0,0,4955,12433,34956,7594567,0,0,7594567,7629523,1875070,0
383,481239185,547,WICHITA GRAND OPERA INC,WICHITA GRAND OPERA INC,% MARGARET PENT-BAKARDJIEV,225 W DOUGLAS,WHICHITA,KS,67202-3134,201306,3,N,N,N,N,N,5,N,N,0,684439,326921,0,0,0,0,0,0,0,0,1011360,0,0,0,0,507023,0,0,4939,21249,0,943490,182374,167557,923450,0,0,0,0,81392,0,0,0,0,0,1354773,0,0,0,0,0,0,14739,14739,0,0,0,1340034,1354773,2471440,0
384,510116569,150,GRAND OPERA HOUSE INC,GRAND OPERA HOUSE INC,NA,818 N MARKET STREET,WILMINGTON,DE,19801-3087,201307,3,Y,Y,Y,N,N,85,N,N,0,2242304,1743612,48022,0,0,0,0,0,0,722155,4756093,0,0,0,0,161850,1503858,0,0,183979,0,6345780,523222,0,2429806,51970,0,13478,92539,9283281,0,0,0,0,5665585,18059881,585078,0,362856,0,0,4043177,19604,5010715,4926246,3457335,4665585,13049166,18059881,15206742,0
385,510145980,521,UTAH SYMPHONY AND OPERA,UTAH SYMPHONY & OPERA,NA,336 N 400 W,SALT LAKE CTY,UT,84103-1228,201308,3,Y,N,Y,N,Y,473,N,N,0,12748975,4857986,1580234,0,0,0,-121945,0,0,51396,19596390,0,0,0,0,716123,0,9154006,604709,1490143,155000,19365470,572181,0,4640170,2046846,0,0,299688,4059453,30341283,6900,128775,0,0,42095296,1143046,0,1684816,0,0,0,408359,3586221,5463635,4305155,28740285,38509075,42095296,58539255,0
386,510175124,16,ANCHORAGE OPERA COMPANY,ANCHORAGE OPERA COMPANY,NA,1507 SPAR AVE,ANCHORAGE,AK,99501-1812,201306,3,N,N,N,N,N,56,Y,N,0,459353,269205,84,0,0,0,34990,22102,0,13851,809935,0,0,0,0,92504,0,197332,2357,3030,0,774819,37594,0,0,0,0,0,500,101960,0,0,0,0,187,140241,56634,0,139908,0,0,0,0,452861,-401840,75366,13854,-312620,140241,0,1809342
388,510213334,380,OPERA ROANOKE,OPERA ROANOKE,NA,20 EAST CHURCH AVENUE 3RD FLOOR,ROANOKE,VA,24011-2142,201406,3,Y,N,Y,N,N,8,N,N,0,334955,125128,11649,0,0,18014,14053,0,0,0,503799,0,0,0,0,61629,0,79876,0,13640,0,558231,21183,1715,32701,0,0,0,5734,3083,612852,0,0,0,0,677268,6197,0,0,0,0,95000,0,101197,-162089,32701,705459,576071,677268,1812511,0
390,510297350,196,INTERNATIONAL VOCAL ARTS INSTITUTE INC,INTERNATIONAL VOCAL ARTS INSTITUTE INC,% SEYMOUR L GOLDMAN CPA,119 WEST 72ND STREET 313,NEW YORK,NY,10023-3201,201312,3,Y,N,N,N,N,2,N,N,0,457533,54267,0,0,0,0,0,0,0,0,511800,0,0,0,0,27700,0,44000,0,0,0,513812,15831,0,0,0,0,0,0,0,0,0,0,0,0,15831,0,0,0,0,0,0,262,262,15569,0,0,15569,15831,2056177,0
393,516018055,332,OPERA DELEWARE INC,OPERA DELAWARE INC,NA,4 S POPLAR ST,WILMINGTON,DE,19801-5009,201308,3,Y,N,Y,N,N,55,N,N,0,577073,163802,19,0,0,7232,-3929,0,0,0,762347,0,0,0,0,75000,0,91200,0,20305,0,795656,99746,17521,207399,77873,0,0,20650,750505,0,0,0,0,282004,1455698,13500,0,77873,0,0,489056,0,580429,305249,570020,0,875269,1455698,0,3016613
395,521473747,539,WASHINGTON CONCERT OPERA,WASHINGTON CONCERT OPERA,NA,2437 15TH ST NW,WASHINGTON,DC,20009-4101,201306,3,Y,Y,N,N,N,4,N,N,0,412662,141838,405,0,0,0,102469,0,0,0,657374,0,0,0,0,97666,0,34511,0,3230,0,628099,205354,0,0,13645,0,0,12585,0,0,0,0,0,1875,233459,26171,0,95879,0,0,0,0,122050,101217,10192,0,111409,233459,2529264,0
